Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ENGL,111W,D100,SHAKESPEARE,HAMLET (ED. HIBBARD),978-0-19-953581-1,1,8,RQ,BUDRA,BUR,$10.95
ENGL,111W,D900,SHAKESPEARE,MACBETH,978-1-904271-41-3,3,15,RQ,CAPPERDONI,SUR,$26.00
ENGL,111W,D100,VONNEGUT,SLAUGHTERHOUSE-FIVE (RACK SIZE,978-0-440-18029-6,1,99,RQ,BUDRA,BUR,$9.99
ENGL,111W,D100,BECKETT,WAITING FOR GODOT,978-0-8021-4442-3,1,11,RQ,BUDRA,BUR,$15.50
ENGL,111W,D100,ELIOT,"WASTE LAND, PRUFROCK & OTHER P",978-0-486-40061-7,1,98,RQ,BUDRA,BUR,$4.00
ENGL,111W,D900,RHYS,WIDE SARGASSO SEA (ED RAISKIN),978-0-393-96012-9,1,99,RQ,CAPPERDONI,SUR,$30.00
ENGL,111W,D900,BRONTE,WUTHERING HEIGHTS (ED DUNN),978-0-393-97889-6,4,2,RQ,CAPPERDONI,SUR,$22.00
ENGL,112W,FIC 07-08,CHANDLER,BIG SLEEP (TRADE ED),978-0-394-75828-2,1,88,RQ,ZILLWOOD,BUR,$18.00
ENGL,112W,D100,TRUONG,BITTER IN THE MOUTH : A NOVEL,978-0-8129-8132-2,1,11,RQ,KIM,BUR,$22.00
ENGL,112W,FIC 04-05,DELILLO,COSMOPOLIS : A NOVEL,978-0-7432-4425-1,1,4,RQ,DRAKE,BUR,$22.00
ENGL,112W,D100,ONDAATJE,ENGLISH PATIENT,978-0-394-28013-4,1,92,RQ,KIM,BUR,$21.00
ENGL,112W,FIC 06,CONRAD,HEART OF DARKNESS (PENGUIN CLA,978-0-14-310658-6,1,12,RQ,PACE,BUR,$16.00
ENGL,112W,FIC 06,ADAMS,HITCHHIKERS GUIDE TO THE GALAX,978-0-330-50853-7,1,9,RQ,PACE,BUR,$16.99
ENGL,112W,FIC 04-05,CHOY,JADE PEONY,978-1-55054-468-8,1,95,RQ,DRAKE,BUR,$19.95
ENGL,112W,FIC 07-08,TAN,JOY LUCK CLUB,978-0-14-303809-2,1,89,RQ,ZILLWOOD,BUR,$22.00
ENGL,112W,D100,SACKS,MAN WHO MISTOOK HIS WIFE FOR A,978-0-684-85394-9,1,85,RQ,KIM,BUR,$18.99
ENGL,112W,FIC 06,KEROUAC,ON THE ROAD,978-0-14-004259-7,1,57,RQ,PACE,BUR,$23.00
ENGL,112W,D100,ATWOOD,ORYX & CRAKE,978-0-307-39848-2,1,9,RQ,KIM,BUR,$22.00
ENGL,112W,D100,LARSEN,PASSING (ED KAPLAN),978-0-393-97916-9,1,7,RQ,KIM,BUR,$29.00
ENGL,112W,FIC 01-03,SCHLINK,READER (TRADE ED) (TRANS JANEW,978-0-375-70797-1,1,97,RQ,WISNIEWSKI,BUR,$13.95
ENGL,112W,FIC 06,MCCARTHY,ROAD,978-0-307-38789-9,1,7,RQ,PACE,BUR,$18.95
ENGL,112W,FIC 07-08,MCCARTHY,ROAD,978-0-307-38789-9,1,7,RQ,ZILLWOOD,BUR,$18.95
ENGL,112W,FIC 01-03,KELLY,SEAGULL READER : STORIES,978-0-393-93821-0,3,14,RQ,WISNIEWSKI,BUR,$45.00
ENGL,112W,D100,TAMAKI,SKIM,978-0-88899-964-1,1,10,RQ,KIM,BUR,$12.95
ENGL,112W,FIC 07-08,MOORE,WATCHMEN,978-1-4012-4525-2,1,14,RQ,ZILLWOOD,BUR,$23.99
ENGL,113W,D900,PROULX,BROKEBACK MOUNTAIN,978-0-7432-7132-5,1,5,RQ,ST PIERRE,SUR,$12.99
ENGL,113W,D900,PILKINGTON,FOLLOW THE RABBIT-PROOF FENCE,978-0-7022-3355-5,1,2,RQ,ST PIERRE,SUR,$19.95
ENGL,113W,D900,LOOS,GENTLEMEN PREFER BLONDES,978-0-87140-317-9,1,14,RQ,ST PIERRE,SUR,$22.00
