Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ENSC,105W,D100,STEVENSON,STRATEGIES FOR ENGINEERING COM,978-0-471-12817-5,1,1,RQ,WHITMORE,BUR,$112.00
ENV,221,D100,MEADOWS,THINKING IN SYSTEMS,978-1-60358-055-7,1,9,RQ,CONRAD,BUR,$29.95
ENV,320W,D100,KERNOHAN,ENVIRONMENTAL ETHICS,978-1-55481-041-3,1,12,RQ,HOOLEY,BUR,$33.00
EVSC,100,D100,BRANFIREUN,ENVIRONMENTAL SCIENCE (TEXT ON,978-1-4641-5420-1,1,14,OP,HOLLAND,SUR,$184.00
EVSC,100,D300,BRANFIREUN,ENVIRONMENTAL SCIENCE (TEXT ON,978-1-4641-5420-1,1,14,OP,BRANFIREUN,BUR,$184.00
FNST,212,D100,ELSEY,POETICS OF LAND & IDENTITY AMO,978-1-55266-550-3,1,13,RQ,REIMER,BUR,$22.00
FNST,301,D100,WILSON,RESEARCH IS CEREMONY,978-1-55266-281-6,1,9,RQ,REIMER,BUR,$28.00
FNST,401,C100,DICKASON,CONCISE HISTORY OF CANADAS FIR,978-0-19-900853-7,3,15,RQ,IGNACE,BUR,$80.00
FNST,401,C100,COULTHARD,RED SKIN WHITE MASKS,978-0-8166-7965-2,1,14,RQ,IGNACE,BUR,$32.00
FNST,201W,D100,DUNBAR-ORTIZ,INDIGENOUS PEOPLES HISTORY OF,978-0-8070-5783-4,1,15,RQ,REDER,BUR,$19.00
FNST,201W,D100,ARMSTRONG,SLASH,978-1-894778-45-9,1,0,RQ,REDER,BUR,$21.95
FPA,104,C100,DANIELSON,BASIC ORGANIZATION OF MUSIC (N,978-0-9739917-2-7,4,10,RQ,DANIELSON,BUR,$82.00
FPA,104,D100,DANIELSON,BASIC ORGANIZATION OF MUSIC (N,978-0-9739917-2-7,4,10,RQ,UEDA,BUR,$82.00
FPA,129,D100,CALAIS-GERMAI,ANATOMY OF MOVEMENT (REV),978-0-939616-57-2,1,8,RQ,PROPHET,HRB,$54.00
FPA,129,D200,CALAIS-GERMAI,ANATOMY OF MOVEMENT (REV),978-0-939616-57-2,1,8,RQ,TBD,HRB,$54.00
FPA,135,E100,BARSAM,LOOKING AT MOVIES W/ EBOOK & S,978-0-393-26519-4,5,15,RQ,NARINE,BUR,$142.00
FPA,136,D100,CORRIGAN,FILM EXPERIENCE,978-1-4576-6354-3,4,15,RQ,PAVSEK,HRB,$117.00
FPA,167,E100,EISENMAN,NINETEENTH CENTURY ART: COLLEG,978-0-500-28888-7,4,11,RQ,BARENSCOTT,HRB,$154.00
FPA,210,D100,BISHOP,INSTALLATION ART,978-1-85437-518-6,1,10,RQ,OLEKSIJCZUK,HRB,$37.50
FPA,237,E100,ZHANG,CHINESE NATIONAL CINEMA,978-0-415-17290-5,1,4,RQ,CUI,HRB,$64.00
FPA,252,D100,HYDE,TRICKSTER MAKES THIS WORLD : M,978-0-374-53255-0,2,10,RQ,HILL,HRB,$20.00
FPA,337,E100,ZHANG,CHINESE NATIONAL CINEMA,978-0-415-17290-5,1,4,RQ,CUI,HRB,$64.00
FPA,339,E100,WESTON,DIRECTING ACTORS,978-0-941188-24-1,1,99,RQ,,HRB,$38.00
FPA,366,D100,LANGE-BERNDT,MATERIALITY,978-0-262-52809-2,1,15,RQ,CLAY,HRB,$34.00
FPA,389,D200,WALLACE,CREATIVITY INC : OVERCOMING TH,978-0-307-36117-2,1,14,RQ,JANG,HRB,$32.00
FPA,389,D200,HEATH,MADE TO STICK : WHY SOME IDEAS,978-1-4000-6428-1,1,7,RQ,JANG,HRB,$35.00
FPA,453,D100,INNES,CAMBRIDGE INTRODUCTION TO THEA,978-0-521-60622-6,1,13,RQ,HILL,HRB,$30.95
FPA,453,D100,BOGART,DIRECTOR PREPARES : SEVEN ESSA,978-0-415-23832-8,1,1,RQ,HILL,HRB,$64.30
FPA,453,D100,MITCHELL,DIRECTORS CRAFT : HANDBOOK FOR,978-0-415-40439-6,1,9,RQ,HILL,HRB,$57.00
FPA,811,G100,OSBORNE,ANYWHERE OR NOT AT ALL: PHILOS,978-1-78168-094-0,1,13,RQ,PRIEST,HRB,$34.95
FPA,811,G100,MANNING,MINOR GESTURE,978-0-8223-6121-3,1,16,RQ,PRIEST,HRB,$36.00
FPA,811,G100,SHAVIRO,POST CINEMATIC AFFECT,978-1-84694-431-4,1,10,RQ,PRIEST,HRB,$26.00
FPA,811,G100,DYSON,"TONE OF OUR TIMES: SOUNDS, SEN",978-0-262-02808-0,1,14,RQ,PRIEST,HRB,$49.00
FPA,357W,D100,SOPHOCLES,AJAX,978-0-521-65564-4,1,1,RQ,KUGLER,HRB,$18.00
FPA,357W,D100,MCLAUGHLIN,AJAX IN IRAQ,978-1-62384-134-8,1,0,RQ,KUGLER,HRB,$18.00
FPA,357W,D100,FARBER,MOLORA,978-1-84002-855-3,1,8,RQ,KUGLER,HRB,$23.50
FPA,357W,D100,AESCHYLUS,ORESTEIA (TRANS FAGLES),978-0-14-044333-2,1,78,RQ,KUGLER,HRB,$22.00
FPA,357W,D100,ARISTOTLE,POETICS,978-0-486-29577-0,1,97,RQ,KUGLER,HRB,$3.00
FPA,357W,D100,FERGUSON,SHORT GUIDE TO WRITING ABOUT T,978-0-321-13673-2,1,8,RQ,KUGLER,HRB,$66.00
FREN,212,F100,OLLIVIER,GRAMMAIRE FRANCAISE,978-0-17-657003-3,6,16,RQ,DE RYCKE,BUR,$113.00
FREN,212,D100,FAVROD,MISE EN PRATIQUE,978-0-13-390306-5,7,16,RQ,DE RYCKE,BUR,$142.00
FREN,215,D100,GARANT-VIAU,LA PORTEE DES SONS  LES CAHIER,978-2-7637-8699-5,1,15,RQ,BRUNEAU-JOLLY,BUR,$35.00
FREN,221,D100,OLLIVIER,GRAMMAIRE FRANCAISE,978-0-17-657003-3,6,16,RQ,DE RYCKE,BUR,$113.00
FREN,221,F100,OLLIVIER,GRAMMAIRE FRANCAISE,978-0-17-657003-3,6,16,RQ,SESSIONAL,BUR,$113.00
FREN,222,D100,OLLIVIER,GRAMMAIRE FRANCAISE,978-0-17-657003-3,6,16,RQ,BRUNEAU-JOLLY,BUR,$113.00
FREN,307,D100,CLAIRE MIQUEL,VOCABULAIRE PROGRESSIF DU FRAN,978-2-09-038154-2,1,15,RQ,BLACK,BUR,$55.00
FREN,340,D100,LAURIN,ANTHOLOGIE DE LA LITTERATURE Q,978-2-7617-2512-5,3,7,RQ,CALDERON,BUR,$32.95
FREN,340,D100,TREMBLAY,LES BELLES-SOEURS,978-2-7427-7099-1,1,0,RQ,CALDERON,BUR,$14.95
FREN,340,D100,BLAIS,UNE SAISON DANS LA VIE D'EMMAN,978-2-89052-366-1,1,91,RQ,CALDERON,BUR,$10.95
FREN,417,D100,TELLIER,ELEMENTS DE SYNTAXE FRANCAIS,978-2-89105-849-0,2,3,RQ,CANAC-MARQUIS,BUR,$61.00
FREN,423,D100,PERRET,INTRODUCTION A' L'HISTOIRE,978-2-2006-1419-5,1,16,RQ,GUILBAULT,BUR,$36.00
FREN,423,D100,WALTER,LE FRANCAIS DANS TOUS LES SENS,978-2-7578-5999-5,1,16,RQ,GUILBAULT,BUR,$23.95
FREN,440,D100,DESNOS,FORTUNES (GALLIMARD),978-2-07-030086-0,1,69,RQ,STEELE,BUR,$15.00
FREN,440,D100,BAUDELAIRE,LES FLEURS DU MAL (POCKET),978-2-2660-2945-2,1,9,RQ,STEELE,BUR,$5.50
FREN,452,D100,MARIE-CLIE AGNA,FEMMES AU TEMPS DES CARNASSIER,978-2-89091-509-1,1,15,RQ,CALDERON,BUR,$22.95
FREN,452,D100,HUSTON,NORD PERDU,978-2-7427-4925-6,1,4,RQ,CALDERON,BUR,$16.00
FREN,301W,D100,CHOVELON,EXPRESSION ET STYLE,978-2-7061-2491-4,2,15,RQ,PLANCHENAULT,BUR,$38.00
FREN,301W,F100,CHOVELON,EXPRESSION ET STYLE,978-2-7061-2491-4,2,15,RQ,OLLIVIER-BUDISA,BUR,$38.00
GEOG,162,D100,BONE,REGIONAL GEOGRAPHY OF CANADA,978-0-19-900242-9,6,13,RQ,WIENS,BUR,$112.00
GEOG,213,D100,BIERMAN,KEY CONCEPTS IN GEOMORPHOLOGY,978-1-4292-3860-1,1,13,RQ,VENDITTI,BUR,$158.00
GEOG,214,D100,AHRENS,METEOROLOGY TODAY (CDN EDN),978-0-17-653079-2,2,16,RC,VARHOLA,BUR,$186.00
GEOG,253,D100,CAMPBELL,INTRO TO REMOTE SENSING,978-1-60918-176-5,5,11,RC,SESSIONAL,BUR,$136.00
GEOG,255,D100,LONGLEY,GEOGRAPHIC INFORMATION SYSTEMS,978-0-470-72144-5,3,11,RC,HEDLEY,BUR,$131.00
GEOG,255,D100,HEYWOOD,INTRO TO GEOGRAPHICAL INFO SYS,978-0-273-72259-5,4,11,RQ,HEDLEY,BUR,$96.00
GEOG,264,C100,FILION,CANADIAN CITIES IN TRANSITION,978-0-19-900818-6,5,15,RQ,EVANS,BUR,$95.00
GEOG,314,D100,WALLACE,ATMOSPHERIC SCIENCE,978-0-12-732951-2,2,6,RC,EHLERT,BUR,$124.00
GEOG,314,D100,KUMP,EARTH SYSTEM,978-0-321-59779-3,3,10,RQ,EHLERT,BUR,$209.00
GEOG,317,D100,BRADY,NATURE AND PROPERTIES OF SOILS,978-0-13-325448-8,15,16,RC,SCHMIDT,BUR,$215.00
GEOG,327,D100,WILLIAMS,TOURISM GEOGRAPHY : CRITICAL U,978-0-415-85444-3,3,14,RQ,GILL,BUR,$99.00
GEOG,352,D100,MCGREW,INTRO TO STATISTICAL PROBLEM S,978-1-4786-1119-6,3,14,RC,DRAGICEVIC,BUR,$80.00
GEOG,363,D100,HODGE,PLANNING CANADIAN COMMUNITIES,978-0-17-650982-8,6,14,RQ,HOLDEN,HRB,$140.00
GEOG,363,D100,STONE,POLICY PARADOX,978-0-393-91272-2,3,1,RQ,HOLDEN,HRB,$94.00
GEOG,377,D100,CARTER,"ENEMY IN THE BLOOD : MALARIA,",978-0-8173-1760-7,1,12,RQ,TAYLOR,BUR,$58.50
GEOG,377,D100,CUSHMAN,GUANO AND THE OPENING OF THE P,978-1-107-65596-6,1,14,RQ,TAYLOR,BUR,$41.00
GEOG,377,D100,NEUMANN,IMPOSING WILDERNESS,978-0-520-23468-0,1,2,RQ,TAYLOR,BUR,$64.00
GEOG,377,D100,WEBB,TROPICAL PIONEERS : HUMAN AGEN,978-0-8214-1428-6,1,2,RQ,TAYLOR,BUR,$54.00
GEOG,389W,D100,ROBBINS,ENVIRONMENT AND SOCIETY : A CR,978-1-118-45156-4,2,14,RQ,IRWIN,BUR,$56.95
GEOG,389W,D100,KNIGHT,MAKING SENSE IN GEOGRAPHY AND,978-0-19-901022-6,6,14,RC,IRWIN,BUR,$35.00
GEOG,412W,D100,BENNETT,GLACIAL GEOLOGY,978-0-470-51691-1,2,9,RQ,NEUDORF,BUR,$77.00
GERM,102,D100,EVANS,MENSCHEN A1.1 ARBEITSBUCH W/CD,978-3-19-311901-8,1,14,RQ,HEIN,BUR,$22.00
GERM,102,D200,EVANS,MENSCHEN A1.1 ARBEITSBUCH W/CD,978-3-19-311901-8,1,14,RQ,HEIN,BUR,$22.00
GERM,102,D300,EVANS,MENSCHEN A1.1 ARBEITSBUCH W/CD,978-3-19-311901-8,1,14,RQ,HEIN,BUR,$22.00
GERM,102,D400,EVANS,MENSCHEN A1.1 ARBEITSBUCH W/CD,978-3-19-311901-8,1,14,RQ,HEIN,BUR,$22.00
GERM,102,D100,SCHWINGSHACKL,MENSCHEN A1.1 GLOSSARY XXL DEU,978-3-19-051901-9,1,14,RC,HEIN,BUR,$23.00
GERM,102,D200,SCHWINGSHACKL,MENSCHEN A1.1 GLOSSARY XXL DEU,978-3-19-051901-9,1,14,RC,HEIN,BUR,$23.00
GERM,102,D300,SCHWINGSHACKL,MENSCHEN A1.1 GLOSSARY XXL DEU,978-3-19-051901-9,1,14,RC,HEIN,BUR,$23.00
GERM,102,D400,SCHWINGSHACKL,MENSCHEN A1.1 GLOSSARY XXL DEU,978-3-19-051901-9,1,14,RC,HEIN,BUR,$23.00
GERM,102,D100,EVANS,MENSCHEN A1.1 KURSBUCH W/DVD,978-3-19-301901-1,1,15,RQ,HEIN,BUR,$25.00
GERM,102,D200,EVANS,MENSCHEN A1.1 KURSBUCH W/DVD,978-3-19-301901-1,1,15,RQ,HEIN,BUR,$25.00
GERM,102,D300,EVANS,MENSCHEN A1.1 KURSBUCH W/DVD,978-3-19-301901-1,1,15,RQ,HEIN,BUR,$25.00
GERM,102,D400,EVANS,MENSCHEN A1.1 KURSBUCH W/DVD,978-3-19-301901-1,1,15,RQ,HEIN,BUR,$25.00
GERM,103,D100,LAS-PETERS,MENSCHEN A1.2 ARBEITSBUCH,978-3-19-511901-6,1,12,RQ,HEIN,BUR,$22.00
GERM,103,D100,SCHWINGSHACKL,MENSCHEN A1.2 GLOSSAR XXL DEUT,978-3-19-061901-6,1,0,RC,HEIN,BUR,$23.00
GERM,103,D100,EVANS,MENSCHEN A1.2 KURSBUCH,978-3-19-501901-9,1,12,RQ,HEIN,BUR,$25.00
GERM,201,D100,ARBEITSBUCH,MENSCHEN A2.1 ARBEITSBUCH W/DV,978-3-19-311902-5,1,0,RQ,HEIN,BUR,$22.00
GERM,201,D100,KURSBUCH,MENSCHEN A2.1 KURSBUCH W/CD,978-3-19-301902-8,1,0,RQ,HEIN,BUR,$25.00
GERO,300,E100,CHAPPELL,AGING IN CONTEMPORARY CANADA,978-0-13-201873-9,2,8,RQ,CANHAM,HRB,$143.00
GERO,411,E100,DURST,DIVERSITY AND AGING AMONG IMMI,978-1-55059-407-2,1,10,RQ,KOEHN,HRB,$41.00
GERO,420,C100,MCPHERSON,AGING AS A SOCIAL PROCESS,978-0-19-544492-6,6,13,RQ,WISTER,BUR,$109.00
GERO,802,G100,WINDSOR,EVALUATION OF HEALTH PROMOTION,978-0-19-023507-9,5,15,RQ,WISTER,HRB,$78.00
GSWS,101,D100,MEYER,TWILIGHT,978-0-316-01584-4,1,6,RQ,CAMPBELL,BUR,$18.00
GSWS,102,C100,FERREE,GLOBAL FEMINISM,978-0-8147-2736-2,1,6,RQ,TBD,BUR,$44.00
GSWS,102,C100,LEGATES,IN THEIR TIME : HISTORY OF FEM,978-0-415-93098-7,1,1,RQ,TBD,BUR,$67.00
GSWS,312,C100,ZAMAN,"ASIAN IMMIGRANTS IN ""TWO CANAD",978-1-55266-479-7,1,12,RQ,TBD,BUR,$21.00
GSWS,318,D100,MANN,DOING FEMINIST THEORY : FROM M,978-0-19-985810-1,1,12,RQ,KOTSOVILI,BUR,$91.00
GSWS,318,D100,WHITEHEAD,GENDER & IDENTITY: KEY THEMES,978-0-19-544490-2,1,13,RQ,KOTSOVILI,BUR,$108.00
GSWS,319,D100,BLACK,DARKEST PART OF THE FOREST,978-0-316-21308-0,1,16,RQ,BITTNER,HRB,$13.49
GSWS,319,D100,KING,GLORY O'BRIEN'S HISTORY OF THE,978-0-316-22273-0,1,16,RQ,BITTNER,HRB,$12.00
GSWS,319,D100,COLLINS,HUNGER GAMES,978-0-439-02352-8,1,10,RQ,BITTNER,HRB,$11.99
GSWS,319,D100,RUSSO,IF I WAS YOUR GIRL,978-1-250-07840-7,1,16,RQ,BITTNER,HRB,$24.99
GSWS,319,D100,WILSON,MS. MARVEL VOLUME 1,978-0-7851-9021-9,1,14,RQ,BITTNER,HRB,$17.99
GSWS,319,D100,ANDERSON,SPEAK,978-0-312-67439-7,1,11,RQ,BITTNER,HRB,$10.99
GSWS,319,D100,MOSKOWITZ,TEETH,978-1-4424-4946-6,1,13,RQ,BITTNER,HRB,$11.99
GSWS,319,D100,LEVITHAN,TWO BOYS KISSING,978-0-307-93191-7,1,15,RQ,BITTNER,HRB,$10.99
GSWS,323,D100,RUHL,DEAR ELIZABETH : A PLAY IN LET,978-0-86547-815-2,1,14,RQ,COLBY,HRB,$15.99
GSWS,323,D100,FREUD,DORA (TRADE ED),978-0-684-82946-3,1,97,RQ,COLBY,HRB,$17.50
GSWS,323,D100,DULACK,INCOMMUNICADO,978-0-8222-0565-4,1,90,RQ,COLBY,HRB,$15.00
GSWS,323,D100,STOPPARD,INVENTION OF LOVE,978-0-8021-3581-0,1,97,RQ,COLBY,HRB,$17.00
GSWS,323,D100,HARE,JUDAS KISS,978-0-8021-3572-8,1,98,RQ,COLBY,HRB,$13.00
GSWS,323,D100,CHURCHILL,TOP GIRLS,978-0-573-63023-1,1,82,RQ,COLBY,HRB,$19.00
GSWS,350,D100,MILES,WOMEN IN GLOBALIZING WORLD: EQ,978-1-926708-19-5,1,13,RQ,MULLER MYRDAHL,BUR,$44.00
GSWS,822,G100,HOOKS,AIN'T I A WOMAN : BLACK WOMEN,978-1-138-82151-4,2,14,RQ,MARCHBANK,SUR,$48.00
GSWS,822,G100,DELPHY,CLOSE TO HOME: A MATERIALIST A,978-1-78478-250-4,1,16,RQ,MARCHBANK,SUR,$31.99
GSWS,822,G100,FIRESTONE,DIALECTIC OF SEX,978-0-374-52787-7,1,3,RQ,MARCHBANK,SUR,$17.00
GSWS,822,G100,FRIEDAN,FEMININE MYSTIQUE,978-0-393-34678-7,1,13,RQ,MARCHBANK,SUR,$23.50
GSWS,830,G100,MILES,WOMEN IN GLOBALIZING WORLD: EQ,978-1-926708-19-5,1,13,RQ,MULLER MYRDAHL,BUR,$44.00
HIST,101,D100,CONRAD,FOUNDATIONS : READINGS IN PRE-,978-0-321-49110-7,2,8,RQ,KEOUGH,BUR,$109.00
HIST,101,D100,STOREY,WRITING HISTORY: A GUIDE FOR C,978-0-19-901212-1,4,16,RC,KEOUGH,BUR,$33.00
HIST,115,D100,JACOBS,INCIDENTS IN THE LIFE OF A SLA,978-0-674-03583-6,1,9,RQ,CHENIER,BUR,$28.00
HIST,115,D100,DEMERSON,INCORRIGIBLE,978-0-88920-444-7,1,4,RQ,CHENIER,BUR,$36.00
HIST,115,D100,RAMPOLLA,POCKET GUIDE TO WRITING IN HIS,978-1-4576-9088-4,8,16,RQ,CHENIER,BUR,$30.00
HIST,130,D900,DAVIS,WAYFINDERS,978-0-88784-842-1,1,9,RQ,MACKENZIE,SUR,$19.95
HIST,146,D100,GETZ,ABINA AND THE IMPORTANT MEN,978-0-19-023874-2,2,15,RQ,WALSHAW,BUR,$28.00
HIST,146,D100,GILBERT,AFRICA IN WORLD HISTORY,978-0-205-05399-5,3,11,RQ,WALSHAW,BUR,$126.00
HIST,146,D100,DANGAREMBGA,NERVOUS CONDITIONS,978-0-9547023-3-5,1,4,RQ,WALSHAW,BUR,$19.50
HIST,151,D100,CLEVELAND,HISTORY OF THE MODERN MIDDLE E,978-0-8133-4980-0,6,16,RQ,SEDRA,BUR,$78.00
HIST,151,D100,GETTLEMAN,MIDDLE EAST & ISLAMIC WORLD RE,978-0-8021-4577-2,2,12,RQ,SEDRA,BUR,$24.50
HIST,204,D100,WONG,ESCAPE TO GOLD MOUNTAIN,978-1-55152-476-4,1,12,CH,ADCOCK,BUR,$21.00
HIST,204,D100,WORTON,KLONDIKE,978-1-897299-87-6,1,11,CH,ADCOCK,BUR,$24.95
HIST,212,D100,PAINE,COMMON SENSE,978-0-486-29602-9,1,97,RQ,TAYLOR,BUR,$8.00
HIST,212,D100,ROWLANDSON,SOVEREIGNTY & GOODNESS OF GOD,978-0-312-11151-9,1,97,RQ,TAYLOR,BUR,$24.00
HIST,212,D100,MCPHERSON,WHAT THEY FOUGHT FOR,978-0-385-47634-8,1,94,RQ,TAYLOR,BUR,$16.95
HIST,224,D100,GILDEA,BARRICADES & BORDERS: EUROPE 1,978-0-19-925300-5,3,3,RQ,ROSSI,BUR,$80.00
HIST,224,D100,BLANNING,NINETEENTH CENTURY,978-0-19-873135-1,1,0,RQ,ROSSI,BUR,$66.00
HIST,224,D100,GASKELL,NORTH & SOUTH (ED INGHAM),978-0-14-043424-8,1,3,RQ,ROSSI,BUR,$16.00
HIST,236,D100,TOTMAN,EARLY MODERN JAPAN,978-0-520-20356-3,1,95,RQ,MATSUMURA,BUR,$69.00
HIST,237,D100,MORTON,OURSELVES AND OTHERS : SCOTLAN,978-0-7486-2049-4,2,12,RQ,MCCULLOUGH,BUR,$42.00
HIST,237,D100,DEVINE,OXFORD HANDBOOK OF MODERN SCOT,978-0-19-871363-0,1,14,RQ,MCCULLOUGH,BUR,$69.00
HIST,254,D100,EBREY,CAMBRIDGE ILLUSTRATED HISTORY:,978-0-521-12433-1,2,10,RC,GUO,BUR,$62.00
HIST,254,D100,EBREY,CHINESE CIVILIZATION: SOURCEBO,978-0-02-908752-7,2,93,RC,GUO,BUR,$32.00
HIST,254,D100,TIMOTHY BROOK,CONFUSIONS OF PLEASURE,978-0-520-22154-3,1,98,RQ,GUO,BUR,$42.00
HIST,254,D100,HANSEN,OPEN EMPIRE : A HISTORY OF CHI,978-0-393-93877-7,2,15,RQ,GUO,BUR,$82.00
HIST,254,D100,BROOK,TROUBLED EMPIRE: CHINA IN THE,978-0-674-07253-4,1,13,RQ,GUO,BUR,$29.00
HIST,254,D100,LIPMAN,VIOLENCE IN CHINA : ESSAYS IN,978-0-7914-0115-6,1,90,RC,GUO,BUR,$45.00
HIST,265,D100,OSTERHAMMEL,GLOBALIZATION : SHORT HISTORY,978-0-691-13395-9,1,5,RQ,WINDEL,BUR,$31.95
HIST,300,D100,POPKIN,FROM HERODOTUS TO H-NET : STOR,978-0-19-992300-7,1,15,RQ,PANCHASI,BUR,$35.00
HIST,332,D100,SCHLINK,GUILT ABOUT THE PAST,978-0-88784-959-6,1,10,RQ,ROSSI,BUR,$19.95
HIST,332,D100,KITCHEN,HISTORY OF MODERN GERMANY : 18,978-0-470-65581-8,2,11,RQ,ROSSI,BUR,$73.00
HIST,332,D100,CHICKERING,IMPERIAL GERMANY AND THE GREAT,978-1-107-69152-0,3,14,RQ,ROSSI,BUR,$44.00
HIST,332,D100,BROWNING,ORDINARY MEN (WITH NEW AFTERWO,978-0-06-099506-5,1,93,RQ,ROSSI,BUR,$19.99
HIST,332,D100,ROTH,WHAT I SAW,978-0-393-32582-9,1,4,RQ,ROSSI,BUR,$18.95
HIST,334,D100,TOLSTOY,HADJI MURAT (ED PEVEAR),978-0-307-95134-2,1,12,RQ,VINKOVETSKY,BUR,$12.00
HIST,334,D100,RIASANOVSKY,HISTORY OF RUSSIA,978-0-19-534197-3,8,10,RQ,VINKOVETSKY,BUR,$130.00
HIST,334,D100,SMITH,PEARL,978-0-300-15858-8,1,9,RQ,VINKOVETSKY,BUR,$41.00
HIST,334,D100,TIAN-SHANSKAIIA,VILLAGE LIFE IN LATE TSARIST R,978-0-253-20784-5,1,93,RQ,VINKOVETSKY,BUR,$27.00
HIST,339,C100,LEVINE,BRITISH EMPIRE: SUNRISE TO SUN,978-1-4082-6920-6,2,13,RQ,RAY,BUR,$76.00
HIST,339,C100,HARPER,FORGOTTEN ARMIES,978-0-14-029331-9,1,5,RQ,RAY,BUR,$35.99
HIST,348,D100,KROG,COUNTRY OF MY SKULL (INTRO HUN,978-0-8129-3129-7,1,0,RC,WALSHAW,BUR,$19.00
HIST,348,D100,MDA,HEART OF REDNESS,978-0-312-42174-8,1,3,RQ,WALSHAW,BUR,$25.00
HIST,348,D100,MATHABANE,KAFFIR BOY : THE TRUE STORY OF,978-0-684-84828-0,1,0,RQ,WALSHAW,BUR,$20.00
HIST,348,D100,BERGER,SOUTH AFRICA IN WORLD HISTORY,978-0-19-533793-8,1,9,RQ,WALSHAW,BUR,$26.00
HIST,348,D100,CRAIS,"SOUTH AFRICA READER : HISTORY,",978-0-8223-5529-8,1,13,RQ,WALSHAW,BUR,$43.00
HIST,371,D100,GORDON,MODERN HISTORY OF JAPAN,978-0-19-993015-9,3,13,RQ,MATSUMURA,BUR,$69.00
HIST,377,D100,CARTER,"ENEMY IN THE BLOOD : MALARIA,",978-0-8173-1760-7,1,12,RQ,TAYLOR,BUR,$58.50
HIST,377,D100,CUSHMAN,GUANO AND THE OPENING OF THE P,978-1-107-65596-6,1,14,RQ,TAYLOR,BUR,$41.00
HIST,377,D100,NEUMANN,IMPOSING WILDERNESS,978-0-520-23468-0,1,2,RQ,TAYLOR,BUR,$64.00
HIST,377,D100,WEBB,TROPICAL PIONEERS : HUMAN AGEN,978-0-8214-1428-6,1,2,RQ,TAYLOR,BUR,$54.00
HIST,400,D100,STRUNK,ELEMENTS OF STYLE (FOREWORD AN,978-0-205-30902-3,4,0,RQ,BROWN,BUR,$12.95
HIST,400,D100,KING,ON WRITING (TRADE ED),978-1-4391-5681-0,2,10,RQ,BROWN,BUR,$22.00
HIST,400,D100,CHODOROW,WRITING A SUCCESSFUL RESEARCH,978-1-60384-440-6,1,11,RQ,BROWN,BUR,$19.00
HIST,407,D100,FRASER,EVOLUTION OF THE BRITISH WELFA,978-0-230-22466-7,4,9,RQ,MCCULLOUGH,BUR,$51.99
HIST,415,E100,VERNON,DISTANT STRANGERS,978-0-520-28204-9,1,14,RQ,WINDEL,HRB,$35.00
HIST,415,E100,GASKELL,MARY BARTON (ED DALY),978-0-14-043464-4,1,97,RQ,WINDEL,HRB,$12.00
HIST,415,E100,NEAD,"VICTORIAN BABYLON : PEOPLE, ST",978-0-300-10770-8,1,0,RQ,WINDEL,HRB,$46.00
HIST,424,D100,MORGAN,"COMMEMORATING CANADA: HISTORY,",978-1-4426-1061-3,1,16,RQ,KNICKERBOCKER,BUR,$30.00
HIST,436,D100,ROY,BRITISH COLUMBIA LAND OF PROMI,978-0-19-541048-8,1,5,RC,ADCOCK,BUR,$36.95
HIST,465,D100,GELVIN,ISRAEL-PALESTINE CONFLICT,978-1-107-61354-6,3,14,RQ,SEDRA,BUR,$39.95
HIST,465,D100,SWEDENBURG,MEMORIES OF REVOLT,978-1-55728-763-2,1,3,RQ,SEDRA,BUR,$41.00
HIST,465,D100,LEVINE,STRUGGLE AND SURVIVAL IN PALES,978-0-520-26253-9,1,12,RQ,SEDRA,BUR,$48.00
HIST,469,E100,LAPIDUS,HISTORY OF ISLAMIC SOCIETIES,978-0-521-73297-0,3,14,RQ,SAJOO,BUR,$82.00
HIST,478,D100,MARK,LAW AND LOCAL SOCIETY IN LATE,978-0-8047-2272-8,1,94,RC,GUO,BUR,$96.00
HIST,478,D100,WANG,LEGAL REFORM IN TAIWAN UNDER J,978-0-295-99447-5,1,15,RQ,GUO,BUR,$50.00
HIST,478,D100,HEGEL,TRUE CRIMES IN EIGHTEENTH-CENT,978-0-295-98907-5,1,11,RC,GUO,BUR,$34.95
HIST,485,D100,LAUDAN,CUISINE AND EMPIRE: COOKING IN,978-0-520-28631-3,1,15,RQ,WALSHAW,BUR,$37.95
HIST,485,D100,COUNIHAN,FOOD AND CULTURE: A READER,978-0-415-52104-8,3,12,RQ,WALSHAW,BUR,$107.00
HIST,485,D100,SITWELL,HISTORY OF FOOD IN 100 RECIPES,978-0-316-22997-5,1,13,RQ,WALSHAW,BUR,$39.00
HIST,486,D100,KHERAJ,INVENTING STANLEY PARK,978-0-7748-2425-5,1,13,RQ,KENNY,HRB,$33.00
HIST,486,D100,MACDONALD,MAKING VANCOUVER 1863-1913,978-0-7748-0570-4,1,96,RQ,KENNY,HRB,$38.00
HIST,486,D100,BLOMLEY,UNSETTLING THE CITY,978-0-415-93316-2,1,4,RQ,KENNY,HRB,$72.00
HIST,486,D100,ANDERSON,VANCOUVER'S CHINATOWN,978-0-7735-1329-7,1,95,RQ,KENNY,HRB,$36.00
HIST,814,G100,FARGE,ALLURE OF THE ARCHIVES,978-0-300-19893-5,1,15,RQ,CHENIER,BUR,$25.00
